local_level_id,district_id,type_id,type_code,name_en,name_ne
165,16,4,RURAL_MUNICIPALITY,Parwanipur,परवानीपुर
166,16,4,RURAL_MUNICIPALITY,Baragadhi,बारागढी
167,16,4,RURAL_MUNICIPALITY,Suwarna,सुवर्ण
168,17,3,MUNICIPALITY,Baudhimai,बौधीमाई
169,17,3,MUNICIPALITY,Brindaban,बृन्दावन
170,17,3,MUNICIPALITY,Chandrapur,चन्द्रपुर
171,17,3,MUNICIPALITY,Dewahi Gonahi,देवाही गोनाही
172,17,3,MUNICIPALITY,Gadhimai,गढीमाई
173,17,3,MUNICIPALITY,Guruda,गरुडा
174,17,3,MUNICIPALITY,Gaur,गौर
175,17,3,MUNICIPALITY,Gujara,गुजरा
176,17,3,MUNICIPALITY,Ishanath,ईशनाथ
177,17,3,MUNICIPALITY,Katahariya,कटहरिया
178,17,3,MUNICIPALITY,Madhav Narayan,माधव नारायण
179,17,3,MUNICIPALITY,Maulapur,मौलापुर
180,17,3,MUNICIPALITY,Paroha,परोहा
181,17,3,MUNICIPALITY,Phatuwa Bijayapur,फतुवाबिजयपुर
182,17,3,MUNICIPALITY,Rajdevi,राजदेवी
183,17,3,MUNICIPALITY,Rajpur,राजपुर
184,17,4,RURAL_MUNICIPALITY,Durga Bhagwati,दुर्गा भगवती
185,17,4,RURAL_MUNICIPALITY,Yamunamai,यमुनामाई
186,18,3,MUNICIPALITY,Bagmati,बागमती
187,18,3,MUNICIPALITY,Balara,बलरा
188,18,3,MUNICIPALITY,Barahathwa,बरहथवा
189,18,3,MUNICIPALITY,Godaita,गोडैटा
190,18,3,MUNICIPALITY,Hariwan,हरिवन
191,18,3,MUNICIPALITY,Haripur,हरिपुर
192,18,3,MUNICIPALITY,Haripurwa,हरिपुर्वा
193,18,3,MUNICIPALITY,Ishowrpur,ईश्वरपुर
194,18,3,MUNICIPALITY,Kabilasi,कविलासी
195,18,3,MUNICIPALITY,Lalbandi,लालबन्दी
196,18,3,MUNICIPALITY,Malangawa,मलंगवा
197,18,4,RURAL_MUNICIPALITY,Basbariya,बसबरीया
198,18,4,RURAL_MUNICIPALITY,Bisnu,विष्णु
199,18,4,RURAL_MUNICIPALITY,Brahampuri,ब्रह्मपुरी
200,18,4,RURAL_MUNICIPALITY,Chakraghatta,चक्रघट्टा
201,18,4,RURAL_MUNICIPALITY,Chandranagar,चन्द्रनगर
202,18,4,RURAL_MUNICIPALITY,Dhankaul,धनकौल
203,18,4,RURAL_MUNICIPALITY,Kaudena,कौडेना
204,18,4,RURAL_MUNICIPALITY,Parsa,पर्सा
205,18,4,RURAL_MUNICIPALITY,Ramnagar,रामनगर
206,19,3,MUNICIPALITY,Lahan,लहान
207,19,3,MUNICIPALITY,Dhangadhimai,धनगढीमाई
208,19,3,MUNICIPALITY,Siraha,सिरहा
209,19,3,MUNICIPALITY,Golbazar,गोलबजार
210,19,3,MUNICIPALITY,Mirchaiya,मिर्चैयाँ
211,19,3,MUNICIPALITY,Kalyanpur,कल्याणपुर
212,19,3,MUNICIPALITY,Karjanha,कर्जन्हा
213,19,3,MUNICIPALITY,Sukhipur,सुखीपुर
214,19,4,RURAL_MUNICIPALITY,Bhagwanpur,भगवानपुर
215,19,4,RURAL_MUNICIPALITY,Aurahi,औरही
216,19,4,RURAL_MUNICIPALITY,Bishnupur,विष्णुपुर
217,19,4,RURAL_MUNICIPALITY,Bariyarpatti,बरियारपट्टी
218,19,4,RURAL_MUNICIPALITY,Lakshmipur Patari,लक्ष्मीपुर पतारी
219,19,4,RURAL_MUNICIPALITY,Naraha,नरहा
